objid,name_prefix,name,ra,declination,redshift,typeid,type,reporting_groupid,reporting_group,source_groupid,source_group,discoverydate,discoverymag,discmagfilter,filter,reporters,time_received,internal_names,Discovery_ADS_bibcode,Class_ADS_bibcodes,creationdate,lastmodified
139713,SN,2023wtm,49.4659458114,-0.104965680997,0.023,5,SN Ic,74,ALeRCE,48,ZTF,2023-11-05 07:31:12.999,18.673,110,g,"F. Forster, F.E. Bauer, G. Pignata, A. Munoz-Arancibia, A. Mourao, L. Hernandez-Garcia, J.P. Brandt, L. Galbany, J. Silva-Farfan, R. Dastidar, E. Camacho, A. Alvarez, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, P. Gallardo, P. Huijse, H. Larranaga, E. Pizarro, I. Reyes, P. Sanchez-Saez, A. Sepulveda, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2023-11-05 22:56:01,"ZTF17aacpbmv, ATLAS23vdw, PS23kod",2023TNSTR2845....1F,"2023TNSCR2978....1F, 2023TNSCR2994....1S",2023-11-05 22:56:17,2023-11-25 13:11:58
139548,SN,2023wne,69.9913286207,-8.91986288656,0.017,5,SN Ic,48,ZTF,48,ZTF,2023-11-03 09:59:40.416,19.3912,111,r,K. De (Caltech) on behalf of ZTF,2023-11-03 23:01:29,"ZTF23abomtjc, ATLAS23vks, PS23kuq",2023TNSTR2825....1D,2023TNSCR2869....1M,2023-11-03 23:01:31,2023-11-23 21:00:31
135968,SN,2023ruq,53.334625,-15.502381,0.029237,5,SN Ic,74,ALeRCE,48,ZTF,2023-09-08 11:31:36.002,19.5087,111,r,"A. Munoz-Arancibia, G. Pignata, F.E. Bauer, F. Forster, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, E. Camacho, J. Arredondo, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, P. Huijse, A. Moya, E. Reyes, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2023-09-08 20:03:50,"ZTF23abbskff, PS23idf, Gaia23clz, ATLAS23swx",2023TNSTR2204....1M,2023TNSCR2815....1D,2023-09-08 20:03:53,2023-11-02 15:39:18
138135,SN,2023uvg,144.315704261,23.5866698407,0.0251739994,5,SN Ic,74,ALeRCE,48,ZTF,2023-10-13 11:05:02.000,18.7389,110,g,"F. Forster, G. Pignata, F.E. Bauer, A. Munoz-Arancibia, A. Mourao, R. Dastidar, L. Hernandez-Garcia, L. Galbany, E. Camacho, J. Silva-Farfan, J. Arredondo, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, P. Huijse, E. Reyes, I. Reyes, P. Sanchez-Saez, C. Valenzuela, E. Castillo, D. Ruz-Mieres, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2023-10-13 20:03:01,"ZTF23abjrolk, PS23jnm, ATLAS23uii",2023TNSTR2574....1F,2023TNSCR2746....1S,2023-10-13 20:03:13,2023-10-27 19:52:40
136125,SN,2023sar,350.624417,45.6076,0.015,5,SN Ic,48,ZTF,48,ZTF,2023-09-08 07:43:40.800,20.51,110,g,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,2023-09-11 09:23:49,"ZTF23abcglga, ATLAS23shj, Gaia23cxe",2023TNSTR2231....1F,2023TNSCR2451....1N,2023-09-11 09:23:50,2023-10-18 07:30:16
137527,SN,2023ubd,260.9526155,-0.9823685,0.055,5,SN Ic,74,ALeRCE,48,ZTF,2023-10-04 03:27:17.997,19.7824,111,r,"A. Munoz-Arancibia, G. Pignata, F. Forster, F.E. Bauer, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, E. Camacho, J. Arredondo, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, P. Huijse, A. Moya, E. Reyes, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2023-10-04 22:00:37,ZTF23abhvrhm,2023TNSTR2475....1M,2023TNSCR2617....1H,2023-10-04 22:00:50,2023-10-16 19:49:17
137146,SN,2023tno,111.98225,64.329189,0.02,5,SN Ic,74,ALeRCE,48,ZTF,2023-09-24 11:18:52.001,17.553,111,r,"F. Forster, F.E. Bauer, G. Pignata, A. Munoz-Arancibia, A. Mourao, R. Dastidar, L. Hernandez-Garcia, L. Galbany, E. Camacho, J. Silva-Farfan, J. Arredondo, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, P. Huijse, E. Reyes, I. Reyes, P. Sanchez-Saez, C. Valenzuela, E. Castillo, D. Ruz-Mieres, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2023-09-24 17:50:56,"ZTF23abdshvl, ATLAS23tjh, PS23ivl, Gaia23cuv",2023TNSTR2365....1F,2023TNSCR2521....1T,2023-09-24 17:51:17,2023-10-12 10:06:08
129327,SN,2023ijh,5.1741651343,25.2294554717,0.0356,5,SN Ic,48,ZTF,48,ZTF,2023-05-13 11:32:38.400,19.72,111,r,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,2023-05-14 17:25:05,"ZTF23aajpxbm, ATLAS23lqg, PS23hqh",2023TNSTR1099....1F,2023TNSCR1281....1S,2023-05-14 17:25:06,2023-09-08 15:26:41
133916,SN,2023oyz,258.00275,23.377061,0.0294,5,SN Ic,48,ZTF,48,ZTF,2023-08-09 05:10:06.240,20.4214,111,r,K. De (Caltech) on behalf of ZTF,2023-08-10 21:00:23,"ZTF23aawtmcf, ATLAS23res, GOTO23aao, Gaia23bzh, PS23hqi",2023TNSTR1919....1D,2023TNSCR1974....1W,2023-08-10 21:00:24,2023-09-01 10:27:40
129142,SN,2023icj,238.889759475,6.80145999859,0.059,5,SN Ic,74,ALeRCE,48,ZTF,2023-05-12 09:00:17.997,19.8331,111,r,"A. Munoz-Arancibia, G. Pignata, F.E. Bauer, F. Forster, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, E. Camacho, J. Arredondo, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, P. Huijse, A. Moya E. Reyes, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2023-05-13 00:32:05,"ZTF23aajfere, ATLAS23kng, PS23dhh",2023TNSTR1078....1M,2023TNSCR1408....1S,2023-05-13 00:32:13,2023-06-17 13:51:10
